Musoyama,S2e,1191.6922111819847,1191.6922111819847,15
Miyabiyama,K1w,1172.907039925602,1156.797344297976,15
Takanohana,Y1w,1154.2325412113094,1154.2325412113094,15
Akebono,Y2w,1149.779436278653,1080.0464137239762,15
Chiyotenzan,M11e,1155.2988122587826,1068.577796994447,14
Chiyotaikai,O1w,1089.8661120281147,1060.2170860280735,15
Kyokutenho,M13e,1128.4589383794735,1105.8714135233179,15
Takanonami,S2w,1121.2835453940893,1108.5459779566042,15
Takanowaka,M12e,1076.6648290205774,1048.610897650898,14
Oikari,M13w,1071.6588103050256,1039.2881774757134,13
Wakanoyama,M7w,1080.3019648761183,1080.3019648761183,15
Tochiazuma,S1w,1044.8661620824628,1022.6453952711299,15
Tokitsuumi,M11w,1074.539693382783,1018.7935936873705,15
Kyokushuzan,M6e,1062.0639615075581,1062.0639615075581,15
Minatofuji,M9w,1054.0018424801415,1045.2413083680956,15
Tosanoumi,K1e,1046.5744293763546,1046.5744293763546,15
Tamakasuga,M8e,1054.3346365292266,1054.3346365292266,15
Dejima,O1e,1103.821284528361,1054.1450454334017,15
Kaio,S1e,1060.5496337301693,996.7813987337938,15
Asanosho,M8w,1050.0,979.0309087213006,15
Musashimaru,Y,1025.0,994.0754519025734,5
Shikishima,M5w,1025.0,992.5077090408412,15
Takatoriki,M10e,1001.1947962627478,942.2158686817177,14
Kotonowaka,M2e,1052.604301157439,936.6842938446056,15
Akinoshima,M4w,1077.4060546524597,983.324529653581,15
Higonoumi,M3w,1028.059009910331,955.9760696971473,7
Otsukasa,M10w,1000.0,949.7863305881282,12
Hamanoshima,M5e,1000.0,914.9043187851357,15
Tochinonada,M4e,1086.5937767745443,921.8537154671876,15
Kotoryu,M1w,1028.3160557021324,965.8900449794348,15
Kaiho,M9e,1025.243955298804,951.8871803103083,15
Kinkaiyama,M14e,1025.0,912.107153543696,13
Terao,M7e,1028.573155870419,877.5979685455213,15
Kotonishiki,M3e,1000.0,853.5236381200574,15
Ohinode,M12w,1000.0,858.3657215584043,12
Toki,M1e,1000.0,892.179492405605,15
Aogiyama,M6w,1003.5731558704191,847.9418856449062,14
Asanowaka,M2w,1000.0,875.3861246824988,15
done
